TXT_CATEGORY_LEVEL_1,TXT_CATEGORY_LEVEL_2,TXT_CATEGORY_LEVEL_3,Pricing methodology 1,Pricing methodology 2,Pricing methodology 3,Contract methodology 1,Contract methodology 2,Contract methodology 3,Auctionable,Supplier market complexity
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Welding machinery,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Manufacturing Components and Supplies,Acoustical or noise control housings or enclosures,Market based pricing,Fixed pricing,Cost plus model,Value engineering ,Framework agreement approach,Long term contract,No,Low
Directs,Manufacturing Components and Supplies,Actuators,Market based pricing,Fixed pricing,Cost plus model,Value engineering ,Framework agreement approach,Long term contract,No,Low
Directs,Manufacturing Components and Supplies,Adhesives,Value based pricing,Fixed pricing,Volume based pricing ,Framework agreement approach,Long term contract,Indefinite delivery,Yes,Low
Directs,Manufacturing Components and Supplies,Adhesives and sealants,Value based pricing,Fixed pricing,Volume based pricing ,Framework agreement approach,Long term contract,Indefinite delivery,Yes,Low
Directs,Manufacturing Components and Supplies,Bearings,Market based pricing,Index based pricing,Cost plus model,Framework agreement approach,Long term contract,Indefinite delivery,No,Low
Directs,Manufacturing Components and Supplies,Bearings and bushings and wheels and gears,Market based pricing,Index based pricing,Cost plus model,Framework agreement approach,Long term contract,Indefinite delivery,No,Low
Directs,Manufacturing Components and Supplies,Bolts,Volume based pricing ,Market based pricing,Index based pricing,Framework agreement approach,Long term contract,Indefinite delivery,Yes,Low
Directs,Manufacturing Components and Supplies,Bonded tube assemblies,Value based pricing,Market based pricing,Index based pricing,Value engineering ,Framework agreement approach,Long term contract,No,Low
Directs,Manufacturing Components and Supplies,Castings and casting assemblies,Value based pricing,Market based pricing,Index based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Manufacturing Components and Supplies,Connectors,Market based pricing,Fixed pricing,Cost plus model,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Manufacturing Components and Supplies,Fabricated plate assemblies,Index based pricing,Market based pricing,Cost plus model,Value engineering ,Performance based contracting,Framework agreement approach,Yes,High
Directs,Manufacturing Components and Supplies,Fabricated sheet assemblies,Index based pricing,Market based pricing,Cost plus model,Value engineering ,Performance based contracting,Framework agreement approach,Yes,High
Directs,Manufacturing Components and Supplies,Fabricated tube assemblies,Market based pricing,Index based pricing,Cost plus model,Value engineering ,Performance based contracting,Framework agreement approach,No,High
Directs,Manufacturing Components and Supplies,Forgings,Index based pricing,Market based pricing,Cost plus model,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Manufacturing Components and Supplies,Gaskets,Volume based pricing ,Market based pricing,Index based pricing,Framework agreement approach,Short term contrct,Indefinite delivery,Yes,Low
Directs,Manufacturing Components and Supplies,Gears,Volume based pricing ,Market based pricing,Index based pricing,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Manufacturing Components and Supplies,Hardware,Volume based pricing ,Market based pricing,Index based pricing,Value engineering ,Framework agreement approach,Long term contract,No,High
Directs,Manufacturing Components and Supplies,Injection moldings,Index based pricing,Market based pricing,Cost plus model,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Manufacturing Components and Supplies,Machine made parts,Index based pricing,Market based pricing,Cost plus model,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Manufacturing Components and Supplies,Machinings,Index based pricing,Market based pricing,Cost plus model,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Manufacturing Components and Supplies,Magnets and magnetic materials,Index based pricing,Market based pricing,Cost plus model,Framework agreement approach,Long term contract,Hedging,No,Low
Directs,Manufacturing Components and Supplies,Manufacturing Components and Supplies,Index based pricing,Market based pricing,Cost plus model,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Manufacturing Components and Supplies,Miscellaneous fasteners,Volume based pricing ,Market based pricing,Index based pricing,Framework agreement approach,Short term contrct,Indefinite delivery,Yes,Low
Directs,Manufacturing Components and Supplies,Miscellaneous finishes,Volume based pricing ,Market based pricing,Index based pricing,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Manufacturing Components and Supplies,Molded gaskets,Volume based pricing ,Market based pricing,Index based pricing,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Manufacturing Components and Supplies,Moldings,Index based pricing,Market based pricing,Cost plus model,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Manufacturing Components and Supplies,Mounting hardware,Market based pricing,Fixed pricing,Cost plus model,Value engineering ,Framework agreement approach,Long term contract,No,Low
Directs,Manufacturing Components and Supplies,Non electric iron and steel wire,Index based pricing,Market based pricing,Volume based pricing ,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Manufacturing Components and Supplies,Nuts,Volume based pricing ,Market based pricing,Index based pricing,Framework agreement approach,Short term contrct,Indefinite delivery,Yes,Low
Directs,Manufacturing Components and Supplies,Optical blanks,Volume based pricing ,Market based pricing,Index based pricing,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Manufacturing Components and Supplies,Paints and primers,Market based pricing,Index based pricing,Volume based pricing ,Framework agreement approach,Short term contrct,,No,Low
Directs,Manufacturing Components and Supplies,Paints and primers and finishes,Market based pricing,Index based pricing,Volume based pricing ,Framework agreement approach,Short term contrct,,No,Low
Directs,Manufacturing Components and Supplies,Pneumatic and hydraulic and electric control systems,Market based pricing,Fixed pricing,Cost plus model,Value engineering ,Framework agreement approach,Long term contract,No,Low
Directs,Manufacturing Components and Supplies,Powdered metal components,Volume based pricing ,Market based pricing,Fixed pricing,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Manufacturing Components and Supplies,Rope and chain and cable and wire and strap,Volume based pricing ,Market based pricing,Fixed pricing,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Manufacturing Components and Supplies,Screws,Volume based pricing ,Market based pricing,Fixed pricing,Framework agreement approach,Short term contrct,Indefinite delivery,Yes,Low
Directs,Manufacturing Components and Supplies,Sealants,Volume based pricing ,Market based pricing,Fixed pricing,Framework agreement approach,Short term contrct,Indefinite delivery,Yes,Low
Directs,Manufacturing Components and Supplies,Seals,Volume based pricing ,Market based pricing,Fixed pricing,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Manufacturing Components and Supplies,Springs,Volume based pricing ,Market based pricing,Fixed pricing,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Manufacturing Components and Supplies,Stamped components,Volume based pricing ,Market based pricing,Fixed pricing,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Manufacturing Components and Supplies,Stampings and sheet components,Volume based pricing ,Market based pricing,Fixed pricing,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Manufacturing Components and Supplies,Washers,Volume based pricing ,Market based pricing,Fixed pricing,Framework agreement approach,Short term contrct,Indefinite delivery,Yes,Low
Directs,Mineral and Textile and Inedible Plant and Animal Materials,Alloys,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,High
Directs,Mineral and Textile and Inedible Plant and Animal Materials,Aluminum based alloys,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,High
Directs,Mineral and Textile and Inedible Plant and Animal Materials,Base Metals,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,Low
Directs,Mineral and Textile and Inedible Plant and Animal Materials,Engineered wood products,Market based pricing,Value based pricing ,Fixed pricing,Framework agreement approach,Long term contract,Hedging,No,Low
Directs,Mineral and Textile and Inedible Plant and Animal Materials,Fibers,Market based pricing,Value based pricing ,Fixed pricing,Framework agreement approach,Long term contract,Hedging,No,Low
Directs,Mineral and Textile and Inedible Plant and Animal Materials,Minerals,Market based pricing,Value based pricing ,Fixed pricing,Framework agreement approach,Long term contract,Hedging,No,Low
Directs,Mineral and Textile and Inedible Plant and Animal Materials,Minerals and ores and metals,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,Low
Directs,Mineral and Textile and Inedible Plant and Animal Materials,Non edible plant and forestry products,Market based pricing,Value based pricing ,Fixed pricing,Framework agreement approach,Long term contract,Hedging,No,Low
Directs,Mineral and Textile and Inedible Plant and Animal Materials,Nonwoven fabrics,Market based pricing,Value based pricing ,Fixed pricing,Framework agreement approach,Long term contract,Hedging,No,Low
Directs,Mineral and Textile and Inedible Plant and Animal Materials,Ores,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,High
Directs,Mineral and Textile and Inedible Plant and Animal Materials,Specialty fabrics or cloth,Market based pricing,Value based pricing ,Fixed pricing,Framework agreement approach,Long term contract,Hedging,No,Low
Directs,Mineral and Textile and Inedible Plant and Animal Materials,Stainless steel alloys,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,High
Directs,Mineral and Textile and Inedible Plant and Animal Materials,Synthetic fabrics,Market based pricing,Value based pricing ,Fixed pricing,Framework agreement approach,Long term contract,Hedging,No,Low
Directs,Mineral and Textile and Inedible Plant and Animal Materials,Yarns,Market based pricing,Value based pricing ,Fixed pricing,Framework agreement approach,Long term contract,Hedging,No,Low
Directs,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,Elastomers,Market based pricing,Value based pricing ,Fixed pricing,Framework agreement approach,Long term contract,Hedging,No,High
Directs,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,Plastic films,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,High
Directs,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,Processed and synthetic rubber,Market based pricing,Value based pricing ,Fixed pricing,Framework agreement approach,Long term contract,Hedging,No,High
Directs,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,High
Directs,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,Resins,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,High
Directs,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,Thermoplastic plastics,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,High
Directs,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,Thermoset plastics,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,High
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Aluminum bars,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,High
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Aluminum coil,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,High
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Aluminum sheets,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,High
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Aluminum strips and ingots,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,High
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Beams,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Brass sheets,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Carbon steel sheets,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,High
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Copper bars,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,High
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Copper ingots strip billets and coil,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,High
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,"Faucet and shower heads, jets and parts and accessories",Value based pricing,Fixed pricing,Volume based pricing ,Framework agreement approach,Long term contract,Indefinite delivery,No,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Flooring,Value based pricing,Fixed pricing,Volume based pricing ,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Foil,Fixed pricing,Market based pricing,Volume based pricing ,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Glass products,Fixed pricing,Market based pricing,Volume based pricing ,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Grating,Fixed pricing,Market based pricing,Volume based pricing ,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Insulation,Volume based pricing ,Market based pricing,Fixed pricing,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Insulation sealing layers,Volume based pricing ,Market based pricing,Fixed pricing,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Nickel sheets and ingots,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Plate,Volume based pricing ,Market based pricing,Fixed pricing,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Plumbing fixtures,Volume based pricing ,Market based pricing,Fixed pricing,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Profiles,Volume based pricing ,Market based pricing,Fixed pricing,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Rod,Volume based pricing ,Market based pricing,Fixed pricing,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Specialty insulation,Volume based pricing ,Market based pricing,Fixed pricing,Framework agreement approach,Short term contrct,Indefinite delivery,No,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Specialty steel coils,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,Yes,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Stainless steel bars,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,Yes,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Stainless steel sheets,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,Yes,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Stainless steel strips,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,Yes,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Steel alloy sheets,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,Yes,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Structural components and basic shapes,Volume based pricing ,Market based pricing,Fixed pricing,Framework agreement approach,Long term contract,Hedging,No,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Structural materials,Volume based pricing ,Market based pricing,Fixed pricing,Framework agreement approach,Long term contract,Hedging,No,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Structural products,Volume based pricing ,Market based pricing,Fixed pricing,Framework agreement approach,Long term contract,Hedging,No,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Structures and Building and Construction and Manufacturing Components and Supplies,Volume based pricing ,Market based pricing,Fixed pricing,Framework agreement approach,Long term contract,Hedging,No,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Tin sheet,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Titanium bars and sheets,Index based pricing,Market based pricing,Escalation clause,Framework agreement approach,Long term contract,Hedging,No,Low
Directs,Structures and Building and Construction and Manufacturing Components and Supplies,Underground roof support structures,Volume based pricing ,Market based pricing,Fixed pricing,Framework agreement approach,Long term contract,Hedging,No,Low
Indirects,Corporate Services,Corporate Services,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,Facilities Management,Building Maintenance/Construction/Fix Services,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,Facilities Management,Carpentry Services,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,Facilities Management,Cleaning,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,Facilities Management,"Copying, Printing, Scanning",Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,Facilities Management,Electrical Services,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,Facilities Management,Facilities Management,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,Facilities Management,Fire And Safety Services,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,Facilities Management,Guarding & Security Services,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,Facilities Management,HVAC Services,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,Facilities Management,Industrial Cleaning,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,Facilities Management,Lighting,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,Facilities Management,Office Cleaning (Incl Trash Removal),Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,Facilities Management,Office Furniture,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,Facilities Management,Office Supplies,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,Facilities Management,Security Equipment,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,Facilities Management,Technical Building Maintenance,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,Facilities Management,Z-Other Cleaning,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,Facilities Management,Z-Other Office Equipment,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,HR Services,Recruiting Services,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,HR Services,Training And Development,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,Indirects,Indirects,,,,,,,Yes,Low
Indirects,IT/ Telecom,Application Services,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,IT/ Telecom,End User Devices - Desktops/ Laptops/Notebook,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,IT/ Telecom,IT Hardware,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,IT/ Telecom,IT Services,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,IT/ Telecom,IT Software,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,High
Indirects,IT/ Telecom,IT/ Telecom,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,IT/ Telecom,Telecom,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,IT/ Telecom,Z-Other Telecom,Value based pricing,Cost plus model,Market based pricing,Performance based contracting,Framework agreement approach,Joint ventures / partnerships,Yes,Low
Indirects,Leasing,Equipment Leasing,Value based pricing,Market based pricing,Fixed pricing,Framework agreement approach,Long term contract,,Yes,Low
Indirects,Leasing,Machinery Leasing,Value based pricing,Market based pricing,Fixed pricing,Framework agreement approach,Long term contract,,Yes,Low
Indirects,Logistics,Air Freight,Fixed pricing,Market based pricing,Unit price,Framework agreement approach,Performance based contracting,Long term contract,Yes,Low
Indirects,Logistics,Co-Packing,Fixed pricing,Market based pricing,Unit price,Framework agreement approach,Performance based contracting,Long term contract,Yes,Low
Indirects,Logistics,Logistics,Fixed pricing,Market based pricing,Unit price,Framework agreement approach,Performance based contracting,Long term contract,Yes,Low
